"","x"
"1",-0.922323232323232
"2",-0.385274261603376
"3",-0.118430609597925
"4",-1.18584415584416
"5",-1.01081180811808
"6",-0.108702380952381
"7",-0.736370967741935
"8",-0.330833333333333
"9",-0.351192307692308
"10",0
"11",-0.507277777777778
"12",0
"13",-0.483121693121693
"14",-0.993850340136055
"15",-0.218968824940048
"16",-0.483121693121693
"17",0.117064102564103
"18",-0.790562770562771
"19",-1.21305555555556
"20",-0.72468253968254
"21",0
"22",-0.746912065439673
"23",-0.517630385487528
"24",-0.592922077922078
"25",-1.25512027491409
"26",-0.329638989169675
"27",-1.39709289617486
"28",-0.241560846560847
"29",-1.08702380952381
"30",-0.788004314994606
"31",-0.185025329280648
"32",-0.647588652482269
"33",-0.832613981762918
"34",-1.21746666666667
"35",-0.245456989247312
"36",-0.348245614035088
"37",-0.764100418410042
"38",-0.21510011778563
"39",-0.197640692640693
"40",0
"41",-0.545134328358209
"42",-0.666496350364963
"43",-0.427181286549708
"44",-0.668937728937729
"45",-0.244471218206158
"46",-0.966243386243386
"47",-2.00681318681319
"48",-0.332036363636364
"49",-1.52183333333333
"50",-2.13393603936039
"51",-1.44249605055292
"52",-0.668937728937729
"53",0
"54",-1.10678787878788
"55",-0.679389880952381
"56",-0.395281385281385
"57",-0.445958485958486
"58",-1.33921333333333
"59",-1.51175496688742
"60",-1.44936507936508
"61",-0.640771929824561
"62",-0.842121212121212
"63",-0.128424753867792
"64",-1.12728395061728
"65",-0.966243386243386
"66",-1.01118493909192
"67",-0.608733333333333
"68",-0.687279569892473
"69",-0.114423558897243
"70",-0.41808608058608
"71",-0.200902090209021
"72",0
"73",0.101455555555556
"74",-0.272567164179104
"75",-0.0813814616755793
"76",-0.222979242979243
"77",-0.43636798088411
"78",-0.661666666666667
"79",-0.23686121919585
"80",-1.13147459727385
"81",-0.810812841530055
"82",-1.01081180811808
"83",-0.973973333333333
"84",-0.256849507735584
"85",-0.533976608187134
"86",-0.530255516840883
"87",-0.78042735042735
"88",-0.589857881136951
"89",-0.958635170603675
"90",-0.379273104880582
"91",-0.513699015471167
"92",-0.102136465324385
"93",-1.36487294469357
"94",-0.78042735042735
"95",-0.355291828793774
"96",-0.543511904761905
"97",-1.28050701186623
"98",-0.67637037037037
"99",-0.603902116402117
"100",0.408545861297539
"101",-1.11489621489621
"102",-0.750199530516432
"103",-0.895196078431372
"104",-1.70275058275058
"105",-0.578643852978454
"106",-0.458383534136546
"107",-0.328453237410072
"108",-1.13147459727385
"109",-0.185025329280648
"110",-2.23992784992785
"111",-0.182802802802803
"112",-0.197001078748652
"113",-0.703157315731573
"114",-0.596797385620915
"115",-2.04730941704036
"116",-0.0925126646403242
"117",-1.48230519480519
"118",-0.218183990442055
